,Neighborhood,Latitude,Longitude,District,Rent per square foot
0,Kennedy Town,22.2824348,114.1284168,Central and Western,63
1,Shek Tong Tsui,22.287735,114.1345987,Central and Western,62
2,Sai Ying Pun,22.286121,114.1420862,Central and Western,69
3,Sheung Wan,22.2868701,114.150267,Central and Western,57
4,Central,22.350627,114.1849161,Central and Western,62
5,Admiralty,22.28424235,114.1588332574,Central and Western,89
6,Mid-levels,22.2824052,114.145809,Central and Western,55
7,Peak,22.2720026,114.1524166,Central and Western,70
8,Wan Chai,22.27746475,114.173026477259,Wan Chai,60
9,Causeway Bay,22.280208,114.1848407,Wan Chai,54
10,Happy Valley,22.2684644,114.1860289,Wan Chai,54
11,Tai Hang,22.4227932,114.1797826,Wan Chai,52
12,So Kon Po,22.2743833,114.1880931,Wan Chai,54
13,Jardine’s Lookout,22.266356,114.1983331,Wan Chai,54
14,Tin Hau,22.2822499,114.191786739649,Eastern,56
15,Braemar Hill,22.2864177,114.2064417,Eastern,49
16,North Point,22.2916575,114.1995447,Eastern,61
17,Quarry Bay,22.2842708,114.2128445,Eastern,52
18,Sai Wan Ho,22.2816131,114.2222928,Eastern,54
19,Shau Kei Wan,22.2790972,114.2286665,Eastern,53
20,Chai Wan,22.2656067,114.2379644,Eastern,46
21,Siu Sai Wan,22.2637273,114.2502079,Eastern,46
22,Pok Fu Lam,22.2613573,114.1368089,Southern,43
23,Aberdeen,22.2487691,114.155954,Southern,60
24,Ap Lei Chau,22.2412104,114.1541361,Southern,51
25,Wong Chuk Hang,22.2485106,114.1667025,Southern,60
26,Shouson Hill,22.2476304,114.1819818,Southern,55
27,Repulse Bay,22.2393943,114.195707791394,Southern,57
28,Chung Hom Kok,22.2182618,114.2047605,Southern,49
29,Stanley,22.2143908,114.2159129,Southern,49
30,Tai Tam,22.1639181,114.2622643,Southern,53
31,Shek O,22.2331673,114.2500334,Southern,65
32,Tsim Sha Tsui,22.2971803,114.1722049,Yau Tsim Mong,70
33,Yau Ma Tei,22.3069384,114.1644631,Yau Tsim Mong,47
34,West Kowloon Reclamation,22.3118661,114.1692296,Yau Tsim Mong,58
35,King’s Park,22.3105718,114.1742986,Yau Tsim Mong,47
36,Mong Kok,22.3196852,114.1683968,Yau Tsim Mong,52
37,Tai Kok Tsui,22.3210684,114.1612096,Yau Tsim Mong,50
38,Mei Foo,22.33880415,114.136548836551,Sham Shui Po,23
39,Lai Chi Kok,22.338889,114.1385614,Sham Shui Po,23
40,Cheung Sha Wan,22.2330795,114.0044574,Sham Shui Po,50
41,Sham Shui Po,22.3300955,114.1609403,Sham Shui Po,30
42,Shek Kip Mei,22.3344537,114.166331,Sham Shui Po,30
43,Yau Yat Tsuen,22.3366848,114.1752124,Sham Shui Po,47
44,Tai Wo Ping,22.3436893,114.1654826,Sham Shui Po,35
45,Stonecutters Island,22.3219132,114.1383171,Sham Shui Po,40
46,Hung Hom,22.3028626,114.18202894325,Kowloon City,52
47,To Kwa Wan,22.3167582,114.1895402,Kowloon City,46
48,Ma Tau Kok,22.3210877,114.1930294,Kowloon City,46
49,Ma Tau Wai,22.3241153,114.1863786,Kowloon City,46
50,Kai Tak,22.3303107,114.1993138,Kowloon City,35
