,Neighborhood,District,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Little Creatures,22.28394957514336,114.12826442993612,Gastropub
1,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Winstons Coffee,22.281374353854922,114.12717152878096,Coffee Shop
2,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Catch.,22.283152,114.126988,Breakfast Spot
3,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Chino,22.28403669001285,114.12881902083944,Mexican Restaurant
4,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Sun Hing Restaurant (新興食家),22.28282217515211,114.12807207218074,Dim Sum Restaurant
5,Kennedy Town,Central and Western,22.2824348,114.12841680000001,AZIZA HK,22.282752795296354,114.12736487382061,Mediterranean Restaurant
6,Kennedy Town,Central and Western,22.2824348,114.12841680000001,South Taiwan Comfort (五斗米),22.28277235674403,114.12694797791674,Taiwanese Restaurant
7,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Comptoir,22.28120934043025,114.1269745209255,French Restaurant
8,Kennedy Town,Central and Western,22.2824348,114.12841680000001,The Cofftea Shop,22.283018178075746,114.12673078280963,Café
9,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Maison Eric Kayser,22.281734653965756,114.12708697404956,Bakery
10,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Bresola,22.283165997620017,114.12690202474647,Italian Restaurant
11,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Kyo Japanese (京日本料理),22.281499362190637,114.12710951321098,Japanese Restaurant
12,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Hor Hor Shop (可可店),22.282087719662094,114.12703874264685,Cha Chaan Teng
13,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Chiu Fook Steam Stone Pot (潮福蒸氣石鍋),22.283289952712554,114.12779157472191,Hong Kong Restaurant
14,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Alvy's,22.28431291402097,114.13103723263738,Pizza Place
15,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Shanghai Lao Lao (上海姥姥),22.28219871550145,114.12911544494072,Shanghai Restaurant
16,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Bistro du Vin,22.28336153979622,114.12648445330026,French Restaurant
17,Kennedy Town,Central and Western,22.2824348,114.12841680000001,乾隆古法秘製雞煲,22.282191767413973,114.12617881895106,Chinese Restaurant
18,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Thai Relax Massage,22.28321718060132,114.12732611816845,Spa
19,Kennedy Town,Central and Western,22.2824348,114.12841680000001,K-Town Bar and Grill,22.281184071653225,114.12698342696137,Gastropub
20,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Shoreditch,22.283286,114.128855,English Restaurant
21,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Just Green,22.28321554570934,114.12723077147663,Gourmet Shop
22,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Bún Chả Việtnamese,22.282892134828028,114.12797031167293,Vietnamese Restaurant
23,Kennedy Town,Central and Western,22.2824348,114.12841680000001,The Tramline Liquor Co.,22.2831505680775,114.12679878926411,Liquor Store
24,Kennedy Town,Central and Western,22.2824348,114.12841680000001,11 Westside,22.281551560527987,114.1271205680377,Mexican Restaurant
25,Kennedy Town,Central and Western,22.2824348,114.12841680000001,Fish & Chick,22.283928300557324,114.12757549716648,Fish & Chips Shop
